headword,ipa,cefr,pos,source,pattern,group,gloss_en,gloss_ja,gloss_zh,gloss_ko
sleep,/slip/,A1,動詞,both,ee → /i/,team,,,,
slow,/sloʊ/,A1,形容詞,both,ow → /oʊ/,team,,,,
small,/smɔl/,A1,形容詞,both,a → /ɔ/,long,,,,
smart,/smɑrt/,A1,形容詞,both,ar → /ɑr/,r,,,,
smell,/smɛl/,A1,名詞,both,e → /ɛ/,short,,,,
smile,/smaɪl/,A1,名詞,both,i_e → /aɪ/ (マジックe),long,,,,
smith,/smɪθ/,A1,名詞,both,i → /ɪ/,short,,,,
smoke,/smoʊk/,A1,名詞 / 動詞,both,o_e → /oʊ/ (マジックe),long,,,,
smoking,/ˈsmoʊkɪŋ/,A1,名詞,cefr,,,,,,
snake,/sneɪk/,A1,名詞,both,a_e → /eɪ/ (マジックe),long,,,,
snow,/snoʊ/,A1,名詞 / 動詞,both,ow → /oʊ/,team,,,,
snowy,/ˈsnoʊi/,A1,形容詞,cefr,,,,,,
so,/soʊ/,A1,副詞 / 接続詞,both,o → /oʊ/,long,,,,
soccer,/ˈsɑkɚ/,A1,名詞,cefr,,,,,,
social,/ˈsoʊʃəl/,A1,形容詞,cefr,,,,,,
sofa,/ˈsoʊfə/,A1,名詞,cefr,,,,,,
solve,/sɑlv/,A1,動詞,cefr,,,,,,
some,/sʌm/,A1,限定詞 / 代名詞,cefr,,,,,,
someone,/ˈsʌmˌwʌn/,A1,代名詞,cefr,,,,,,
something,/ˈsʌmθɪŋ/,A1,代名詞,cefr,,,,,,
son,/sʌn/,A1,名詞,both,o → /ʌ/,long,,,,
song,/sɔŋ/,A1,名詞,both,o → /ɔ/,short,,,,
soon,/sun/,A1,副詞,both,oo → /u/,team,,,,
sorry,/ˈsɑri/,A1,形容詞,cefr,,,,,,
soup,/sup/,A1,名詞,both,ou → /u/,team,,,,
speak,/spik/,A1,動詞,both,ea → /i/,team,,,,
special,/ˈspɛʃəl/,A1,形容詞,cefr,,,,,,
speech,/spitʃ/,A1,名詞,both,ee → /i/,team,,,,
spell,/spɛl/,A1,名詞 / 動詞,both,e → /ɛ/,short,,,,
spend,/spɛnd/,A1,動詞,both,e → /ɛ/,short,,,,
sport,/spɔrt/,A1,名詞,both,or → /ɔr/,r,,,,
spot,/spɑt/,A1,名詞,both,o → /ɑ/,short,,,,
spring,/sprɪŋ/,A1,名詞,both,i → /ɪ/,short,,,,
spy,/spaɪ/,A1,名詞,both,y → /aɪ/,long,,,,
stage,/steɪdʒ/,A1,名詞,both,a_e → /eɪ/ (マジックe),long,,,,
stand,/stænd/,A1,名詞 / 動詞,both,a → /æ/,short,,,,
star,/stɑr/,A1,名詞,both,ar → /ɑr/,r,,,,
start,/stɑrt/,A1,名詞 / 動詞,both,ar → /ɑr/,r,,,,
station,/ˈsteɪʃən/,A1,名詞,cefr,,,,,,
stay,/steɪ/,A1,動詞,both,ay → /eɪ/,team,,,,
step,/stɛp/,A1,名詞 / 動詞,both,e → /ɛ/,short,,,,
still,/stɪl/,A1,形容詞 / 副詞,both,i → /ɪ/,short,,,,
stone,/stoʊn/,A1,名詞,both,o_e → /oʊ/ (マジックe),long,,,,
stop,/stɑp/,A1,名詞 / 動詞,both,o → /ɑ/,short,,,,
store,/stɔr/,A1,名詞,both,ore → /ɔr/,r,,,,
story,/ˈstɔri/,A1,名詞,cefr,,,,,,
straight,/streɪt/,A1,形容詞 / 副詞,both,ai → /eɪ/,team,,,,
strange,/streɪndʒ/,A1,形容詞,both,a_e → /eɪ/ (マジックe),long,,,,
street,/strit/,A1,名詞,both,ee → /i/,team,,,,
strict,/strɪkt/,A1,形容詞,both,i → /ɪ/,short,,,,
strong,/strɔŋ/,A1,形容詞,both,o → /ɔ/,short,,,,
student,/ˈstudənt/,A1,名詞,cefr,,,,,,
study,/ˈstʌdi/,A1,名詞 / 動詞,cefr,,,,,,
subject,/səbˈdʒɛkt/,A1,名詞,cefr,,,,,,
subway,/ˈsʌbˌweɪ/,A1,名詞,cefr,,,,,,
successful,/səkˈsɛsfəl/,A1,形容詞,cefr,,,,,,
sugar,/ˈʃʊɡɚ/,A1,名詞,cefr,,,,,,
suggestion,/səˈdʒɛstʃən/,A1,名詞,cefr,,,,,,
sum,/sʌm/,A1,名詞,both,u → /ʌ/,short,,,,
summer,/ˈsʌmɚ/,A1,名詞,cefr,,,,,,
sun,/sʌn/,A1,名詞,both,u → /ʌ/,short,,,,
sunday,/ˈsʌnˌdeɪ/,A1,名詞,cefr,,,,,,
sunny,/ˈsʌni/,A1,形容詞,cefr,,,,,,
sunshine,/ˈsʌnˌʃaɪn/,A1,名詞,cefr,,,,,,
super,/ˈsupɚ/,A1,形容詞,cefr,,,,,,
supermarket,/ˈsupɚˌmɑrkɪt/,A1,名詞,cefr,,,,,,
sure,/ʃʊr/,A1,形容詞 / 副詞,cefr,,,,,,
surf,/sɝf/,A1,名詞 / 動詞,both,ur → /ɝ/,r,,,,
surprise,/sɚˈpraɪz/,A1,名詞,cefr,,,,,,
survey,/sɚˈveɪ/,A1,名詞,cefr,,,,,,
sweet,/swit/,A1,形容詞 / 名詞,both,ee → /i/,team,,,,
swim,/swɪm/,A1,名詞 / 動詞,both,i → /ɪ/,short,,,,
swimming,/ˈswɪmɪŋ/,A1,名詞,cefr,,,,,,
table,/ˈteɪbəl/,A1,名詞,cefr,,,,,,
take,/teɪk/,A1,動詞,both,a_e → /eɪ/ (マジックe),long,,,,
talk,/tɔk/,A1,動詞,cefr,,,,,,
tall,/tɔl/,A1,形容詞,both,a → /ɔ/,long,,,,
taxi,/ˈtæksi/,A1,名詞,cefr,,,,,,
tea,/ti/,A1,名詞,both,ea → /i/,team,,,,
teach,/titʃ/,A1,動詞,both,ea → /i/,team,,,,
teacher,/ˈtitʃɚ/,A1,名詞,cefr,,,,,,
team,/tim/,A1,名詞,both,ea → /i/,team,,,,
technology,/tɛkˈnɑlədʒi/,A1,名詞,cefr,,,,,,
telephone,/ˈtɛləˌfoʊn/,A1,名詞 / 動詞,cefr,,,,,,
television,/ˈtɛləˌvɪʒən/,A1,名詞,cefr,,,,,,
tell,/tɛl/,A1,動詞,both,e → /ɛ/,short,,,,
temple,/ˈtɛmpəl/,A1,名詞,cefr,,,,,,
ten,/tɛn/,A1,数詞,both,e → /ɛ/,short,,,,
tennis,/ˈtɛnəs/,A1,名詞,cefr,,,,,,
terrible,/ˈtɛrəbəl/,A1,形容詞,cefr,,,,,,
test,/tɛst/,A1,名詞,both,e → /ɛ/,short,,,,
than,/ðæn/,A1,接続詞 / 前置詞,both,a → /æ/,short,,,,
thank,/θæŋk/,A1,動詞,cefr,,,,,,
thanks,/θæŋks/,A1,名詞,cefr,,,,,,
that,/ðæt/,A1,接続詞 / 限定詞 / 代名詞,both,a → /æ/,short,,,,
the,/ðə/,A1,限定詞,cefr,,,,,,
their,/ðɛr/,A1,限定詞,cefr,,,,,,
them,/ðɛm/,A1,代名詞,both,e → /ɛ/,short,,,,
then,/ðɛn/,A1,副詞,both,e → /ɛ/,short,,,,
there,/ðɛr/,A1,副詞,both,ere → /ɛr/,r,,,,
these,/ðiz/,A1,限定詞 / 代名詞,both,e → /i/,long,,,,
they,/ðeɪ/,A1,代名詞,both,ey → /eɪ/,team,,,,
thick,/θɪk/,A1,形容詞,both,i → /ɪ/,short,,,,
thin,/θɪn/,A1,形容詞,both,i → /ɪ/,short,,,,
thing,/θɪŋ/,A1,名詞,cefr,,,,,,
think,/θɪŋk/,A1,動詞,cefr,,,,,,
thirteen,/θɝˈtin/,A1,数詞,cefr,,,,,,
thirty,/ˈθɝˌdi/,A1,数詞,cefr,,,,,,
this,/ðɪs/,A1,限定詞 / 代名詞,both,i → /ɪ/,short,,,,
those,/ðoʊz/,A1,限定詞 / 代名詞,both,o → /oʊ/,long,,,,
three,/θri/,A1,数詞,both,ee → /i/,team,,,,
through,/θru/,A1,前置詞,both,ough → /u/,team,,,,
throw,/θroʊ/,A1,名詞 / 動詞,both,ow → /oʊ/,team,,,,
thursday,/ˈθɝzˌdeɪ/,A1,名詞,cefr,,,,,,
ticket,/ˈtɪkət/,A1,名詞,cefr,,,,,,
tiger,/ˈtaɪɡɚ/,A1,名詞,cefr,,,,,,
tight,/taɪt/,A1,形容詞,both,igh → /aɪ/,team,,,,
time,/taɪm/,A1,名詞,both,i_e → /aɪ/ (マジックe),long,,,,
tired,/ˈtaɪɚd/,A1,形容詞,cefr,,,,,,
to,/tu/,A1,infinitive-to / 前置詞,both,o → /u/,long,,,,
today,/təˈdeɪ/,A1,副詞 / 名詞,cefr,,,,,,
together,/təˈɡɛðɚ/,A1,副詞,cefr,,,,,,
toilet,/ˈtɔɪlət/,A1,名詞,cefr,,,,,,
tomato,/təˈmeɪˌtoʊ/,A1,名詞,cefr,,,,,,
tomorrow,/təˈmɑˌroʊ/,A1,副詞 / 名詞,cefr,,,,,,
tonight,/təˈnaɪt/,A1,副詞 / 名詞,cefr,,,,,,
too,/tu/,A1,副詞,both,oo → /u/,team,,,,
tool,/tul/,A1,名詞,both,oo → /u/,team,,,,
tooth,/tuθ/,A1,名詞,both,oo → /u/,team,,,,
top,/tɑp/,A1,名詞,both,o → /ɑ/,short,,,,
topic,/ˈtɑpɪk/,A1,名詞,cefr,,,,,,
touch,/tʌtʃ/,A1,名詞,both,ou → /ʌ/,team,,,,
towel,/ˈtaʊəl/,A1,名詞,cefr,,,,,,
tower,/ˈtaʊɚ/,A1,名詞,cefr,,,,,,
town,/taʊn/,A1,名詞,both,ow → /aʊ/,team,,,,
toy,/tɔɪ/,A1,名詞,both,oy → /ɔɪ/,team,,,,
train,/treɪn/,A1,名詞 / 動詞,both,ai → /eɪ/,team,,,,
travel,/ˈtrævəl/,A1,名詞 / 動詞,cefr,,,,,,
tree,/tri/,A1,名詞,both,ee → /i/,team,,,,
trip,/trɪp/,A1,名詞,both,i → /ɪ/,short,,,,
trousers,/ˈtraʊzɚz/,A1,名詞,cefr,,,,,,
truck,/trʌk/,A1,名詞,both,u → /ʌ/,short,,,,
true,/tru/,A1,形容詞,both,ue → /u/,team,,,,
try,/traɪ/,A1,名詞 / 動詞,both,y → /aɪ/,long,,,,
tube,/tub/,A1,名詞,both,u_e → /u/ (マジックe),long,,,,
tuesday,/ˈtuzdi/,A1,名詞,cefr,,,,,,
turkey,/ˈtɝki/,A1,名詞,cefr,,,,,,
turn,/tɝn/,A1,名詞 / 動詞,both,ur → /ɝ/,r,,,,
tv,/tiˈvi/,A1,名詞,cefr,,,,,,
twelve,/twɛlv/,A1,数詞,cefr,,,,,,
twenty,/ˈtwɛnti/,A1,数詞,cefr,,,,,,
two,/tu/,A1,数詞,cefr,,,,,,
type,/taɪp/,A1,名詞,both,y → /aɪ/,long,,,,
ugly,/ˈʌɡli/,A1,形容詞,cefr,,,,,,
umbrella,/əmˈbrɛlə/,A1,名詞,cefr,,,,,,
uncle,/ˈʌŋkəl/,A1,名詞,cefr,,,,,,
under,/ˈʌndɚ/,A1,前置詞,cefr,,,,,,
underline,/ˈʌndɚˌlaɪn/,A1,名詞,cefr,,,,,,
until,/ənˈtɪl/,A1,前置詞,cefr,,,,,,
up,/ʌp/,A1,副詞 / 前置詞,both,u → /ʌ/,short,,,,
us,/ʌs/,A1,代名詞,both,u → /ʌ/,short,,,,
use,/jus/,A1,名詞 / 動詞,both,u → /ju/,long,,,,
usually,/ˈjuʒəwəli/,A1,副詞,cefr,,,,,,
vacation,/veɪˈkeɪʃən/,A1,名詞,cefr,,,,,,
vase,/veɪs/,A1,名詞,both,a → /eɪ/,long,,,,
vegetable,/ˈvɛdʒtəbəl/,A1,名詞,cefr,,,,,,
very,/ˈvɛri/,A1,副詞,cefr,,,,,,
video,/ˈvɪdioʊ/,A1,名詞,cefr,,,,,,
visit,/ˈvɪzɪt/,A1,名詞 / 動詞,cefr,,,,,,
volleyball,/ˈvɑliˌbɔl/,A1,名詞,cefr,,,,,,
vote,/voʊt/,A1,名詞,both,o_e → /oʊ/ (マジックe),long,,,,
wait,/weɪt/,A1,動詞,both,ai → /eɪ/,team,,,,
waiter,/ˈweɪtɚ/,A1,名詞,cefr,,,,,,
waitress,/ˈweɪtrəs/,A1,名詞,cefr,,,,,,
wake,/weɪk/,A1,名詞,both,a_e → /eɪ/ (マジックe),long,,,,
walk,/wɔk/,A1,名詞 / 動詞,cefr,,,,,,
wall,/wɔl/,A1,名詞,both,a → /ɔ/,long,,,,
want,/wɑnt/,A1,動詞,both,a → /ɑ/,long,,,,
war,/wɔr/,A1,名詞,both,ar → /ɔr/,r,,,,
warm,/wɔrm/,A1,形容詞,both,ar → /ɔr/,r,,,,
was,/wɑz/,A1,be動詞,cefr,,,,,,
wash,/wɑʃ/,A1,名詞 / 動詞,both,a → /ɑ/,long,,,,
watch,/wɑtʃ/,A1,名詞 / 動詞,both,a → /ɑ/,long,,,,
water,/ˈwɔtɚ/,A1,名詞,cefr,,,,,,
way,/weɪ/,A1,名詞,both,ay → /eɪ/,team,,,,
we,/wi/,A1,代名詞,both,e → /i/,long,,,,
wear,/wɛr/,A1,動詞,both,ear → /ɛr/,r,,,,
weather,/ˈwɛðɚ/,A1,名詞,cefr,,,,,,
wednesday,/ˈwɛnzdi/,A1,名詞,cefr,,,,,,
week,/wik/,A1,名詞,both,ee → /i/,team,,,,
weekend,/ˈwiˌkɛnd/,A1,名詞,cefr,,,,,,
welcome,/ˈwɛlkəm/,A1,間投詞 / 動詞,cefr,,,,,,
well,/wɛl/,A1,形容詞 / 副詞,both,e → /ɛ/,short,,,,
were,/wɝ/,A1,be動詞,both,er → /ɝ/,r,,,,
what,/wʌt/,A1,限定詞 / 代名詞,cefr,,,,,,
wheel,/wil/,A1,名詞,both,ee → /i/,team,,,,
when,/wɛn/,A1,副詞 / 接続詞,both,e → /ɛ/,short,,,,
where,/wɛr/,A1,副詞 / 接続詞,both,ere → /ɛr/,r,,,,
which,/wɪtʃ/,A1,限定詞 / 代名詞,both,i → /ɪ/,short,,,,
white,/waɪt/,A1,形容詞 / 名詞,both,i_e → /aɪ/ (マジックe),long,,,,
who,/hu/,A1,代名詞,both,o → /u/,long,,,,
whose,/huz/,A1,限定詞 / 代名詞,both,o → /u/,long,,,,
why,/waɪ/,A1,副詞,both,y → /aɪ/,long,,,,
wife,/waɪf/,A1,名詞,both,i_e → /aɪ/ (マジックe),long,,,,
will,/wɪl/,A1,助動詞,both,i → /ɪ/,short,,,,
win,/wɪn/,A1,動詞,both,i → /ɪ/,short,,,,
wind,/waɪnd/,A1,名詞,both,i → /aɪ/,long,,,,
window,/ˈwɪndoʊ/,A1,名詞,cefr,,,,,,
winter,/ˈwɪntɚ/,A1,名詞,cefr,,,,,,
wish,/wɪʃ/,A1,名詞 / 動詞,both,i → /ɪ/,short,,,,
with,/wɪð/,A1,前置詞,both,i → /ɪ/,short,,,,
woman,/ˈwʊmən/,A1,名詞,cefr,,,,,,
wonderful,/ˈwʌndɚfəl/,A1,形容詞,cefr,,,,,,
word,/wɝd/,A1,名詞,both,or → /ɝ/,r,,,,
work,/wɝk/,A1,名詞 / 動詞,both,or → /ɝ/,r,,,,
worker,/ˈwɝkɚ/,A1,名詞,cefr,,,,,,
world,/wɝld/,A1,名詞,both,or → /ɝ/,r,,,,
worry,/ˈwɝi/,A1,名詞 / 動詞,cefr,,,,,,
would,/wʊd/,A1,助動詞,cefr,,,,,,
write,/raɪt/,A1,動詞,both,i_e → /aɪ/ (マジックe),long,,,,
writer,/ˈraɪtɚ/,A1,名詞,cefr,,,,,,
wrong,/rɔŋ/,A1,形容詞 / 副詞,both,o → /ɔ/,short,,,,
yard,/jɑrd/,A1,名詞,both,ar → /ɑr/,r,,,,
year,/jɪr/,A1,名詞,both,ear → /ɪr/,r,,,,
yellow,/ˈjɛloʊ/,A1,形容詞 / 名詞,cefr,,,,,,
yes,/jɛs/,A1,副詞,cefr,,,,,,
yesterday,/ˈjɛstɚˌdeɪ/,A1,副詞,cefr,,,,,,
yet,/jɛt/,A1,副詞,both,e → /ɛ/,short,,,,
you,/ju/,A1,代名詞,both,ou → /u/,team,,,,
young,/jʌŋ/,A1,形容詞,both,ou → /ʌ/,team,,,,
your,/jɔr/,A1,限定詞,both,our → /ɔr/,r,,,,
yours,/jʊrz/,A1,代名詞,cefr,,,,,,
yourself,/jɚˈsɛlf/,A1,代名詞,cefr,,,,,,
zoo,/zu/,A1,名詞,both,oo → /u/,team,,,,
ability,/əˈbɪləˌti/,A2,名詞,cefr,,,,,,
abroad,/əˈbrɔd/,A2,副詞,cefr,,,,,,
accept,/ækˈsɛpt/,A2,動詞,cefr,,,,,,
acceptable,/ækˈsɛptəbəl/,A2,形容詞,cefr,,,,,,
accident,/ˈæksədənt/,A2,名詞,cefr,,,,,,
account,/əˈkaʊnt/,A2,名詞,cefr,,,,,,
achieve,/əˈtʃiv/,A2,動詞,cefr,,,,,,
across,/əˈkrɔs/,A2,副詞 / 前置詞,cefr,,,,,,
act,/ækt/,A2,名詞,both,a → /æ/,short,,,,
actually,/ˈækˌtʃuəli/,A2,副詞,cefr,,,,,,
addition,/əˈdɪʃən/,A2,名詞,cefr,,,,,,
additional,/əˈdɪʃənəl/,A2,形容詞,cefr,,,,,,
adjective,/ˈædʒɪktɪv/,A2,名詞,cefr,,,,,,
adjust,/əˈdʒʌst/,A2,動詞,cefr,,,,,,
admire,/ædˈmaɪr/,A2,動詞,cefr,,,,,,
admit,/ədˈmɪt/,A2,動詞,cefr,,,,,,
adult,/əˈdʌlt/,A2,形容詞 / 名詞,cefr,,,,,,
advanced,/ədˈvænst/,A2,形容詞,cefr,,,,,,
advantage,/ædˈvæntɪdʒ/,A2,名詞,cefr,,,,,,
adventure,/ædˈvɛntʃɚ/,A2,名詞,cefr,,,,,,
advertisement,/ædˈvɝtəzmənt/,A2,名詞,cefr,,,,,,
advertising,/ˈædvɚˌtaɪzɪŋ/,A2,名詞,cefr,,,,,,
advice,/ædˈvaɪs/,A2,名詞,cefr,,,,,,
advise,/ædˈvaɪz/,A2,動詞,cefr,,,,,,
affair,/əˈfɛr/,A2,名詞,cefr,,,,,,
against,/əˈɡɛnst/,A2,前置詞,cefr,,,,,,
aged,/eɪdʒd/,A2,形容詞,cefr,,,,,,
agency,/ˈeɪdʒənsi/,A2,名詞,cefr,,,,,,
agent,/ˈeɪdʒənt/,A2,名詞,cefr,,,,,,
ahead,/əˈhɛd/,A2,副詞,cefr,,,,,,
air,/ɛr/,A2,名詞,both,air → /ɛr/,r,,,,
aisle,/aɪl/,A2,名詞,cefr,,,,,,
alarm,/əˈlɑrm/,A2,名詞,cefr,,,,,,
alive,/əˈlaɪv/,A2,形容詞,cefr,,,,,,
allow,/əˈlaʊ/,A2,動詞,cefr,,,,,,
alright,/ˌɔlˈraɪt/,A2,形容詞 / 副詞,cefr,,,,,,
although,/ˌɔlˈðoʊ/,A2,接続詞,cefr,,,,,,
ambition,/æmˈbɪʃən/,A2,名詞,cefr,,,,,,
among,/əˈmʌŋ/,A2,前置詞,cefr,,,,,,
amused,/əˈmjuzd/,A2,形容詞,cefr,,,,,,
amusement,/əˈmjuzmənt/,A2,名詞,cefr,,,,,,
ancestor,/ˈænˌsɛstɚ/,A2,名詞,cefr,,,,,,
ancient,/ˈeɪntʃənt/,A2,形容詞,cefr,,,,,,
angel,/ˈeɪndʒəl/,A2,名詞,cefr,,,,,,
angrily,/ˈæŋɡrəli/,A2,副詞,cefr,,,,,,
ankle,/ˈæŋkəl/,A2,名詞,cefr,,,,,,
anniversary,/ˌænəˈvɝsɚi/,A2,名詞,cefr,,,,,,
annoy,/əˈnɔɪ/,A2,動詞,cefr,,,,,,
annoying,/əˈnɔɪɪŋ/,A2,形容詞,cefr,,,,,,
anxious,/ˈæŋkʃəs/,A2,形容詞,cefr,,,,,,
anymore,/ˌɛniˈmɔr/,A2,副詞,cefr,,,,,,
anyway,/ˈɛniˌweɪ/,A2,副詞,cefr,,,,,,
anywhere,/ˈɛniˌwɛr/,A2,副詞,cefr,,,,,,
apart,/əˈpɑrt/,A2,副詞,cefr,,,,,,
apartment,/əˈpɑrtmənt/,A2,名詞,cefr,,,,,,
apparently,/əˈpɛrəntli/,A2,副詞,cefr,,,,,,
appear,/əˈpɪr/,A2,動詞,cefr,,,,,,
appearance,/əˈpɪrəns/,A2,名詞,cefr,,,,,,
apply,/əˈplaɪ/,A2,動詞,cefr,,,,,,
appointment,/əˈpɔɪntmənt/,A2,名詞,cefr,,,,,,
appreciate,/əˈpriʃiˌeɪt/,A2,動詞,cefr,,,,,,
appropriate,/əˈproʊpriət/,A2,形容詞,cefr,,,,,,
architecture,/ˈɑrkəˌtɛktʃɚ/,A2,名詞,cefr,,,,,,
area,/ˈɛriə/,A2,名詞,cefr,,,,,,
argue,/ˈɑrɡju/,A2,動詞,cefr,,,,,,
argument,/ˈɑrɡjəmənt/,A2,名詞,cefr,,,,,,
armchair,/ˈɑrmˌtʃɛr/,A2,名詞,cefr,,,,,,
armed,/ɑrmd/,A2,形容詞,cefr,,,,,,
artificial,/ˌɑrtəˈfɪʃəl/,A2,形容詞,cefr,,,,,,
asleep,/əˈslip/,A2,形容詞,cefr,,,,,,
assistant,/əˈsɪstənt/,A2,形容詞,cefr,,,,,,
association,/əˌsoʊsiˈeɪʃən/,A2,名詞,cefr,,,,,,
astronaut,/ˈæstrəˌnɑt/,A2,名詞,cefr,,,,,,
athlete,/ˈæθˌlit/,A2,名詞,cefr,,,,,,
atom,/ˈætəm/,A2,名詞,cefr,,,,,,
attack,/əˈtæk/,A2,名詞 / 動詞,cefr,,,,,,
attempt,/əˈtɛmpt/,A2,名詞,cefr,,,,,,
attention,/əˈtɛnʃən/,A2,名詞,cefr,,,,,,
attitude,/ˈætəˌtud/,A2,名詞,cefr,,,,,,
attractive,/əˈtræktɪv/,A2,形容詞,cefr,,,,,,
audience,/ˈɑdiəns/,A2,名詞,cefr,,,,,,
audio,/ˈɑdiˌoʊ/,A2,形容詞,cefr,,,,,,
author,/ˈɔθɚ/,A2,名詞,cefr,,,,,,
automatic,/ˌɔtəˈmætɪk/,A2,形容詞,cefr,,,,,,
automatically,/ˌɔtəˈmætɪkli/,A2,副詞,cefr,,,,,,
average,/ˈævɚɪdʒ/,A2,形容詞 / 名詞,cefr,,,,,,
avoid,/əˈvɔɪd/,A2,動詞,cefr,,,,,,
award,/əˈwɔrd/,A2,名詞,cefr,,,,,,
awful,/ˈɑfəl/,A2,形容詞,cefr,,,,,,
background,/ˈbækˌɡraʊnd/,A2,名詞,cefr,,,,,,
badly,/ˈbædli/,A2,副詞,cefr,,,,,,
badminton,/ˈbædˌmɪntən/,A2,名詞,cefr,,,,,,
bake,/beɪk/,A2,動詞,both,a_e → /eɪ/ (マジックe),long,,,,
balcony,/ˈbælkəni/,A2,名詞,cefr,,,,,,
balloon,/bəˈlun/,A2,名詞,cefr,,,,,,
banking,/ˈbæŋkɪŋ/,A2,名詞,cefr,,,,,,
barbecue,/ˈbɑrbɪˌkju/,A2,名詞,cefr,,,,,,
barber,/ˈbɑrbɚ/,A2,名詞,cefr,,,,,,
bargain,/ˈbɑrɡən/,A2,名詞,cefr,,,,,,
base,/beɪs/,A2,名詞,both,a → /eɪ/,long,,,,
basic,/ˈbeɪsɪk/,A2,形容詞,cefr,,,,,,
basically,/ˈbeɪsɪkli/,A2,副詞,cefr,,,,,,
basket,/ˈbæskət/,A2,名詞,cefr,,,,,,
batch,/bætʃ/,A2,名詞,both,a → /æ/,short,,,,
battery,/ˈbætɚi/,A2,名詞,cefr,,,,,,
bay,/beɪ/,A2,名詞,both,ay → /eɪ/,team,,,,
beauty,/ˈbjuti/,A2,名詞,cefr,,,,,,
been,/bɪn/,A2,be動詞,cefr,,,,,,
beer,/bɪr/,A2,名詞,both,eer → /ɪr/,r,,,,
beg,/bɛɡ/,A2,動詞,both,e → /ɛ/,short,,,,
beginner,/bɪˈɡɪnɚ/,A2,名詞,cefr,,,,,,
beginning,/bɪˈɡɪnɪŋ/,A2,名詞,cefr,,,,,,
being,/ˈbiɪŋ/,A2,名詞,cefr,,,,,,
belly,/ˈbɛli/,A2,名詞,cefr,,,,,,
belong,/bɪˈlɔŋ/,A2,動詞,cefr,,,,,,
belt,/bɛlt/,A2,名詞,both,e → /ɛ/,short,,,,
bench,/bɛntʃ/,A2,名詞,both,e → /ɛ/,short,,,,
bend,/bɛnd/,A2,動詞,both,e → /ɛ/,short,,,,
besides,/bɪˈsaɪdz/,A2,副詞,cefr,,,,,,
beyond,/bɪˈɑnd/,A2,前置詞,cefr,,,,,,
bill,/bɪl/,A2,名詞,both,i → /ɪ/,short,,,,
bit,/bɪt/,A2,名詞,both,i → /ɪ/,short,,,,
bite,/baɪt/,A2,名詞,both,i_e → /aɪ/ (マジックe),long,,,,
blackboard,/ˈblækˌbɔrd/,A2,名詞,cefr,,,,,,
blame,/bleɪm/,A2,動詞,both,a_e → /eɪ/ (マジックe),long,,,,
blanket,/ˈblæŋkət/,A2,名詞,cefr,,,,,,
blonde,/blɑnd/,A2,形容詞,cefr,,,,,,
blood,/blʌd/,A2,名詞,cefr,,,,,,
bloom,/blum/,A2,名詞,both,oo → /u/,team,,,,
boil,/bɔɪl/,A2,動詞,both,oi → /ɔɪ/,team,,,,
boiled,/bɔɪld/,A2,形容詞,cefr,,,,,,
bonus,/ˈboʊnəs/,A2,名詞,cefr,,,,,,
bookcase,/ˈbʊkˌkeɪs/,A2,名詞,cefr,,,,,,
bookshelf,/ˈbʊkˌʃɛlf/,A2,名詞,cefr,,,,,,
bookshop,/ˈbʊkˌʃɑp/,A2,名詞,cefr,,,,,,
bored,/bɔrd/,A2,形容詞,cefr,,,,,,
boss,/bɑs/,A2,名詞,both,o → /ɑ/,short,,,,
bother,/ˈbɑðɚ/,A2,動詞,cefr,,,,,,
bra,/brɑ/,A2,名詞,both,a → /ɑ/,long,,,,
brainstorm,/ˈbreɪnˌstɔrm/,A2,名詞,cefr,,,,,,
brake,/breɪk/,A2,名詞,both,a_e → /eɪ/ (マジックe),long,,,,
branch,/bræntʃ/,A2,名詞,both,a → /æ/,short,,,,
brand,/brænd/,A2,名詞,both,a → /æ/,short,,,,
brave,/breɪv/,A2,形容詞,both,a_e → /eɪ/ (マジックe),long,,,,
breeze,/briz/,A2,名詞,both,ee → /i/,long,,,,
bride,/braɪd/,A2,名詞,both,i_e → /aɪ/ (マジックe),long,,,,
brilliant,/ˈbrɪljənt/,A2,形容詞,cefr,,,,,,
budget,/ˈbʌdʒɪt/,A2,名詞,cefr,,,,,,
bug,/bʌɡ/,A2,名詞,both,u → /ʌ/,short,,,,
bulb,/bʌlb/,A2,名詞,both,u → /ʌ/,short,,,,
burn,/bɝn/,A2,名詞,both,ur → /ɝ/,r,,,,
bury,/ˈbɛri/,A2,動詞,cefr,,,,,,
bush,/bʊʃ/,A2,名詞,both,u → /ʊ/,short,,,,
businessman,/ˈbɪznəˌsmæn/,A2,名詞,cefr,,,,,,
businesswoman,/ˈbɪznɪˌswʊmən/,A2,名詞,cefr,,,,,,
cab,/kæb/,A2,名詞,both,a → /æ/,short,,,,
cafeteria,/ˌkæfəˈtɪriə/,A2,名詞,cefr,,,,,,
calendar,/ˈkæləndɚ/,A2,名詞,cefr,,,,,,
camping,/ˈkæmpɪŋ/,A2,名詞,cefr,,,,,,
campus,/ˈkæmpəs/,A2,名詞,cefr,,,,,,
capital,/ˈkæpətəl/,A2,名詞,cefr,,,,,,
captain,/ˈkæptən/,A2,名詞,cefr,,,,,,
carrot,/ˈkærət/,A2,名詞,cefr,,,,,,
cash,/kæʃ/,A2,名詞,both,a → /æ/,short,,,,
cassette,/kəˈsɛt/,A2,名詞,cefr,,,,,,
